id,direction,lat,long,avg_throughput_up,variance_throughput_up,avg_throughput_down,variance_throughput_down,avg_highest_rsrp,variance_highest_rsrp,avg_mcs_up,variance_mcs_up,avg_mcs_down,variance_mcs_down,most_freq_beam
0,N,45.47736,9.234814,73.60000000000001,191.58555555555554,678.5944444444444,19438.777026143787,-77.92702702702702,178.05424924924924,12.263157894736842,1.315789473684211,15.833333333333334,0.6176470588235294,18
1,E,45.47736,9.234814,111.6888888888889,115.19986928104579,891.3777777777776,21174.171241830067,-79.04444444444444,0.15796825396825456,16.0,0.0,20.055555555555557,0.055555555555555546,18
2,S,45.47736,9.234814,76.97222222222223,44.13035947712419,606.2176470588236,6297.667794117647,-85.01714285714287,1.5514621848739472,13.0,0.0,13.823529411764707,2.1544117647058822,18
3,W,45.47736,9.234814,84.46666666666667,173.9238095238095,718.3764705882353,2105.6481617647064,-79.825,0.6322580645161291,13.533333333333333,2.4095238095238094,16.0,0.125,18
4,N,45.47686,9.234032,241.71666666666664,445.72735294117655,975.1588235294118,5575.006323529413,-59.81428571428572,0.014201680672268666,28.0,0.0,27.0,0.0,12
5,E,45.47686,9.234032,113.28947368421052,454.10766081871344,873.8941176470588,1308.1668382352943,-77.80277777777779,0.5179920634920646,18.263157894736842,4.31578947368421,19.41176470588235,0.8823529411764706,12
6,S,45.47686,9.234032,226.91578947368419,1695.5802923976612,992.177777777778,71504.63241830065,-71.16756756756757,0.13169669669669626,28.0,0.0,25.61111111111111,0.25163398692810457,11
7,W,45.47686,9.234032,234.73125000000002,1214.4022916666668,1006.8176470588236,33638.93029411765,-70.50606060606061,3.793712121212121,28.0,0.0,26.41176470588235,1.1323529411764706,12
8,N,45.476334,9.231113,,,221.7705882352941,39.168455882352994,-99.68823529411766,0.12860294117647067,,,15.882352941176471,0.48529411764705893,4
9,E,45.476334,9.231113,,,709.6999999999998,251.48000000000002,-90.9235294117647,0.42066176470588323,,,15.470588235294118,0.2647058823529412,4
10,S,45.476334,9.231113,,,206.08888888888887,1015.1233986928102,-99.46666666666665,0.11882352941176585,,,15.222222222222221,0.3006535947712418,4
11,W,45.476334,9.231113,,,162.95333333333332,641.4512380952382,-103.62666666666668,0.022095238095238508,,,13.0,2.142857142857143,4
12,N,45.478622,9.23284,158.1777777777778,3498.4488888888886,418.7888888888889,12293.409281045753,-77.76944444444445,1.3244682539682546,21.055555555555557,24.290849673202615,16.61111111111111,5.192810457516339,11
13,E,45.478622,9.23284,240.5055555555556,523.4229084967321,1233.6705882352942,31226.57595588236,-67.97428571428571,0.08196638655462223,28.0,0.0,27.0,0.0,19
14,S,45.478622,9.23284,187.53157894736844,1271.5722807017546,1136.9705882352944,17725.72720588235,-77.05833333333335,0.07850000000000065,25.05263157894737,0.05263157894736843,25.0,0.0,12
15,W,45.478622,9.23284,113.06875,133.5982916666667,884.0235294117647,3940.0756617647044,-76.53333333333333,0.07291666666666637,17.6875,0.22916666666666666,20.0,0.0,5
16,N,45.477573,9.234292,229.0421052631579,1384.1003508771933,1117.361111111111,117932.7589869281,-59.44054054054052,0.17025525525525487,28.0,0.0,26.0,0.0,18
