,file,only_download,direction,throughput_up,throughput_down,lat,long,mcs_up,mcs_down,rsrp0,rsrp1,rsrp2,rsrp3,rsrp4,rsrp5,rsrp6,rsrp7,beam_id0,beam_id1,beam_id2,beam_id3,beam_id4,beam_id5,beam_id6,beam_id7,selected_beam
0,20 Oct with GPS/23Oct20 170308.1.csv,False,N,11.2,376.3,45.47736,9.234814,25.0,15.0,-99.3,-100.9,-86.4,-92.3,0,0,0,0,12,13,18,19,0,0,0,0, 18
1,20 Oct with GPS/23Oct20 170308.1.csv,False,N,15.0,681.1,45.47736,9.234812,21.0,15.0,-99.2,-100.8,-97.9,-83.9,-87.6,0,0,0,12,12,13,18,19,0,0,0, 18
2,20 Oct with GPS/23Oct20 170308.1.csv,False,N,14.7,691.6,45.47736,9.234808,23.0,15.0,-98.7,-96.7,-83.9,-86.6,0,0,0,0,12,13,18,19,0,0,0,0, 18
3,20 Oct with GPS/23Oct20 170308.1.csv,False,N,14.8,708.7,45.47736,9.23481,23.0,15.0,-98.4,-96.4,-83.8,-86.5,0,0,0,0,12,13,18,19,0,0,0,0, 18
4,20 Oct with GPS/23Oct20 170308.1.csv,False,N,16.2,687.8,45.47736,9.23481,23.0,15.0,-98.6,-96.2,-83.6,-86.5,0,0,0,0,12,13,18,19,0,0,0,0, 18
5,20 Oct with GPS/23Oct20 170308.1.csv,False,N,14.7,685.5,45.477356,9.234808,22.0,15.0,-98.8,-96.1,-83.5,-86.3,0,0,0,0,12,13,18,19,0,0,0,0, 18
6,20 Oct with GPS/23Oct20 170308.1.csv,False,N,17.3,683.5,45.477356,9.234807,23.0,15.0,-98.9,-96.4,-83.5,-86.2,0,0,0,0,12,13,18,19,0,0,0,0, 18
7,20 Oct with GPS/23Oct20 170308.1.csv,False,N,16.6,736.5,45.477356,9.234807,21.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 18
8,20 Oct with GPS/23Oct20 170308.1.csv,False,N,16.7,759.6,45.477356,9.234808,23.0,16.0,-98.0,-96.6,-97.7,-81.1,0,0,0,0,11,12,13,18,0,0,0,0, 18
9,20 Oct with GPS/23Oct20 170308.1.csv,False,N,16.8,752.4,45.477356,9.234808,21.0,17.0,-96.9,-95.7,-96.6,-80.9,0,0,0,0,11,12,13,18,0,0,0,0, 18
10,20 Oct with GPS/23Oct20 170308.1.csv,False,N,17.3,751.0,45.477356,9.234812,23.0,17.0,-97.1,-95.9,-96.2,-80.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
11,20 Oct with GPS/23Oct20 170308.1.csv,False,N,15.3,760.4,45.477356,9.234814,20.0,17.0,-96.9,-96.2,-96.3,-80.9,0,0,0,0,11,12,13,18,0,0,0,0, 18
12,20 Oct with GPS/23Oct20 170308.1.csv,False,N,17.0,738.4,45.477352,9.234818,16.0,16.0,-96.9,-96.2,-96.3,-80.9,-108.5,-104.1,0,0,11,12,13,18,19,19,0,0, 18
13,20 Oct with GPS/23Oct20 170308.1.csv,False,N,14.3,745.7,45.477348,9.234817,19.0,16.0,-95.8,-95.3,-80.3,-91.0,0,0,0,0,11,12,18,19,0,0,0,0, 18
14,20 Oct with GPS/23Oct20 170308.1.csv,False,N,16.8,737.1,45.477348,9.234817,21.0,16.0,-95.4,-93.8,-79.4,-88.4,-88.2,0,0,0,11,12,18,19,19,0,0,0, 18
15,20 Oct with GPS/23Oct20 170308.1.csv,False,N,14.4,734.6,45.477348,9.234817,17.0,16.0,-95.3,-93.7,-79.1,-87.8,0,0,0,0,11,12,18,19,0,0,0,0, 18
16,20 Oct with GPS/23Oct20 170308.1.csv,False,N,18.7,743.7,45.477348,9.234817,22.0,16.0,-95.3,-94.2,-79.0,-87.7,0,0,0,0,11,12,18,19,0,0,0,0, 18
17,20 Oct with GPS/23Oct20 170308.1.csv,False,N,11.6,240.8,45.477348,9.234817,22.0,16.0,-95.5,-94.2,-79.0,-87.6,0,0,0,0,11,12,18,19,0,0,0,0, 18
18,20 Oct with GPS/23Oct20 170308.1.csv,False,N,23.9,0.5,45.477348,9.234818,8.0,2.0,-95.0,-95.1,-94.2,-78.7,-87.4,0,0,0,11,11,12,18,19,0,0,0, 18
19,20 Oct with GPS/23Oct20 170308.1.csv,False,N,59.8,1.2,45.477348,9.234818,12.0,2.0,-95.5,-95.5,-78.9,-87.9,0,0,0,0,11,12,18,19,0,0,0,0, 18
20,20 Oct with GPS/23Oct20 170308.1.csv,False,N,60.4,1.1,45.477348,9.234818,12.0,2.0,-95.5,-94.4,-95.7,-78.5,-87.9,0,0,0,11,11,12,18,19,0,0,0, 18
21,20 Oct with GPS/23Oct20 170308.1.csv,False,N,65.9,1.2,45.477348,9.23482,12.0,2.0,-92.5,-95.9,-93.3,-78.4,-87.8,0,0,0,11,12,12,18,19,0,0,0, 18
22,20 Oct with GPS/23Oct20 170308.1.csv,False,N,76.3,1.3,45.477348,9.23482,12.0,2.0,-93.2,-90.0,-78.7,-87.8,0,0,0,0,11,12,18,19,0,0,0,0, 18
23,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.4,1.2,45.477345,9.234818,12.0,2.0,-94.1,-90.1,-78.8,-87.7,0,0,0,0,11,12,18,19,0,0,0,0, 18
24,20 Oct with GPS/23Oct20 170308.1.csv,False,N,81.6,1.5,45.477345,9.234818,13.0,2.0,-96.9,-90.8,-78.3,-87.9,0,0,0,0,11,12,18,19,0,0,0,0, 18
25,20 Oct with GPS/23Oct20 170308.1.csv,False,N,83.2,1.3,45.477345,9.23482,13.0,2.0,-91.0,-107.1,-102.7,-78.1,-87.9,0,0,0,12,13,13,18,19,0,0,0, 18
26,20 Oct with GPS/23Oct20 170308.1.csv,False,N,83.1,1.4,45.477345,9.234821,13.0,2.0,-89.9,-96.7,-78.6,-87.8,0,0,0,0,12,13,18,19,0,0,0,0, 18
27,20 Oct with GPS/23Oct20 170308.1.csv,False,N,80.4,1.5,45.477345,9.234823,13.0,2.0,-90.5,-95.8,-78.7,-87.9,0,0,0,0,12,13,18,19,0,0,0,0, 18
28,20 Oct with GPS/23Oct20 170308.1.csv,False,N,80.2,1.4,45.477345,9.234823,13.0,2.0,-89.7,-95.8,-78.7,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
29,20 Oct with GPS/23Oct20 170308.1.csv,False,N,79.2,1.5,45.477345,9.234823,13.0,2.0,-89.1,-95.7,-78.8,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
30,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.9,1.1,45.477345,9.234823,13.0,2.0,-90.6,-95.5,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
31,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.7,1.4,45.477341,9.234821,12.0,2.0,-90.1,-95.3,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
32,20 Oct with GPS/23Oct20 170308.1.csv,False,N,77.9,1.4,45.477341,9.234817,12.0,2.0,-89.1,-95.3,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
33,20 Oct with GPS/23Oct20 170308.1.csv,False,N,76.5,1.3,45.477341,9.234821,12.0,2.0,-89.5,-95.3,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
34,20 Oct with GPS/23Oct20 170308.1.csv,False,N,76.5,0.9,45.477341,9.234821,12.0,0.0,-90.0,-95.4,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
35,20 Oct with GPS/23Oct20 170308.1.csv,False,N,78.5,1.3,45.477341,9.234815,13.0,2.0,-90.7,-95.5,-78.6,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
36,20 Oct with GPS/23Oct20 170308.1.csv,False,N,82.0,1.4,45.477341,9.234814,13.0,2.0,-91.3,-95.7,-78.5,-88.0,0,0,0,0,12,13,18,19,0,0,0,0, 18
37,20 Oct with GPS/23Oct20 170308.1.csv,False,E,10.1,388.8,45.477341,9.234814,21.0,20.0,-104.1,-102.2,-107.0,-78.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
